ID,DATE,DAY,HOUR,CODINT,SEXINT,MODE,DUR,PHASE20,PHASE2,NUTS1,REGION,CPRO,CMUN,MUNICIPALITY,HABT,HABT5,P26,P01,P02A,P02B,P02C,P02D,P02E,P03,P04,P05,P06,P07,P07B,P07Ctx,P07C1,P07C2,P07C3,P07C4,P07D1,P07D2,P07D3,P07D4,P07D5,P07D6,P08,P09,P09B,VP09B,P10tx,P10_1,P10_2,P10_3,P10_4,P10B,P11A,P11B,P11C,P11D,P11E,P12,P12Btx,P12B_1,P12B_2,P12B_3,P12B_4,P13,P13B,P13C,P14,P15,P16,P16Btx,P16B_1,P16B_2,P16B_3,P16B_4,P17,P17B,P17C,P18,P19,P19B,P20,P20B,P21A,P21B,P21C,P21D,P22,P23,P24tx,P24,P25,P27,P27B,P27C,P28,P28_1,P28_2,P28_3,P28_4,P28B,P29,WEIGHT20,WEIGHT2,WEIGHT
16,25 Feb 19,25 Feb 19,12,María,Administered by female interviewer,CATI,6.5,1,Before March 8th,"Sur (Andalucía, Murcia, Ceuta y Melilla)",ANDALUCIA,Málaga,29082,Rincón de la Victoria,Municipalities >=10K pop.,"20,000-99,999 pop.",29720,Not at all,Everyday or almost everyday (5-7),Less (almost never),Less (almost never),Everyday or almost everyday (5-7),Less (almost never),5,Quite,Voting in elections,Little,"No, I didn't know anything",, ,,,,,,,,,,,Not very necessary,No feelings,,,88,DK,,,,,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,No, ,,,,,No,Yes,,No,No,No, ,,,,,Yes,Has no sympathy whatsoever,No,NA,Yes,NA,NA,NA,Never,,,,Woman,47,8,Unemployed,"University graduate (Diploma, Bachelor, Degree, Master, PhD)",Yes,It is fine as it is,Man,1,No,No,No,No,,"Yes, call him/her",.7916666666665344,.9543568464670731,.9266666666664669
69,28 Feb 19,28 Feb 19,10,Daniel,Administered by male interviewer,CATI,9.699999999999999,4,Before March 8th,Comunidad de Madrid,MADRID,Madrid,28015,Arroyomolinos,Municipalities >=10K pop.,"20,000-99,999 pop.",28939,Hardly,3 or 4 days (quite a lot),Never,Everyday or almost everyday (5-7),1 or 2 days/weekends,1 or 2 days/weekends,3,Very,Both are useful,Little,"No, I didn't know anything",, ,,,,,,,,,,,Not very necessary,Rather negative,Mistrust,Descendent categories,88,DK,,,,,Agree,Agree,Strongly agree,Disagree,Disagree,No, ,,,,,No,NA,,No,No,"Yes, in two or more",10,"Other issues not linked to gender inequality (labour, neighbourhood)",,,,Yes,DK,No,3,Yes,Cs Ciudadanos,DK,PSOE,Every or almost every day,Yes,Yes,Yes,Man,45,1,Working full time,"COU, BUP, Higher Baccalaurate",Yes,It is fine as it is,Woman,4,Yes,No,No,Yes,Both (sons and daughters),"Yes, call him/her",.7999999999998665,.8540145985348291,.8429423459242716
82,02 Mar 19,02 Mar 19,15,Juana,Administered by female interviewer,CATI,10.9,6,Before March 8th,Comunidad de Madrid,MADRID,Madrid,28115,Pozuelo de Alarcón,Municipalities >=10K pop.,"20,000-99,999 pop.",28223,Very,Everyday or almost everyday (5-7),Less (almost never),Everyday or almost everyday (5-7),Less (almost never),Less (almost never),8,Quite,Voting in elections,Very capable,"Yes, very much",Quite,"REDES, , , 2",Social networks,,,,Quite,Quite,Quite,Quite,Yes,,Very necessary,Rather positive,Hope,Descendent categories,88,DK,,,,,Strongly disagree,Agree,Agree,Agree,Agree,Yes,REUNION EN MADRID,Celebrate the day,,,,No,Yes,,Yes,Yes,"Yes, in one",1,25th Novemeber (sexual violence),,,,Yes,6,No,5,Yes,PP,Will abstain,Will abstain,Never,,,,Man,23,"1, 9,",Working full time,"University graduate (Diploma, Bachelor, Degree, Master, PhD)","Has a partner, but does not live with him/her",,,1,No,No,No,No,,"Yes, call him/her",.8461538461537048,.9645390070893632,.9722222222220128
93,27 Feb 19,27 Feb 19,11,Tomas,Administered by male interviewer,CATI,16.2,3,Before March 8th,"Este (Cataluña, Comunidad Valenciana, Baleares)",CATALUÑA,Barcelona,8187,Sabadell,Municipalities >=10K pop.,">100,000 pop.",08206,Hardly,Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),Less (almost never),4,Very,Both are useful,Quite,"Yes, a little",Quite,"1, 6",TV,Newspapers,,,Quite,Quite,Very often,Very often,No,No,Quite necessary,Rather positive,Solidarity,Ascedent categories,88,DK,,,,,Disagree,Strongly disagree,Agree,Strongly agree,Agree,Maybe,88,DK,,,,No,Yes,,No,No,"Yes, in two or more",9,"Independentists (Catalonia, in favour of political prisoners)",,,,Yes,5,No,4,Yes,ERC,ERC,,Never,,,,Man,70,4,Retired or pensioner (previously worked),"EGB, ESO, Baccalaurate, Elementary Baccalaurate",Yes,Greater participation by me,Woman,2,Yes,Yes,No,No,Both (sons and daughters),"Yes, call him/her",.999999999999833,.9857819905151366,.9973614775723444
123,25 Feb 19,25 Feb 19,20,María,Administered by female interviewer,CATI,14.3,1,Before March 8th,"Noroeste (Galicia, Asturias, Cantabria)",GALICIA,Pontevedra,36017,"Estrada, A",Municipalities >=10K pop.,"20,000-99,999 pop.",36680,Hardly,Everyday or almost everyday (5-7),3 or 4 days (quite a lot),Less (almost never),1 or 2 days/weekends,1 or 2 days/weekends,8,Quite,Voting in elections,Very capable,"Yes, quite a lot",Hardly,"2, 6",Social networks,Newspapers,,,Quite,Little,Very often,Quite,Yes,,Very necessary,Rather positive,Pride,Ascedent categories,IGUALDAD,Equality in general,,,,Quite capable,Strongly agree,Agree,Strongly agree,Agree,Agree,No, ,,,,,No,No,,No,No,No, ,,,,,No,,,6,Was not old enough to vote,Not in electoral census,NA,NA,Less frequently,Yes,No,No,Woman,20,1,Working full time,"EGB, ESO, Baccalaurate, Elementary Baccalaurate",Yes,It is fine as it is,Man,4,Yes,No,No,Yes,Only son/s,"Yes, by SMS",1.222222222222018,1.023076923075037,.9756097560973507
163,25 Feb 19,25 Feb 19,13,María,Administered by female interviewer,CATI,15.8,1,Before March 8th,"Sur (Andalucía, Murcia, Ceuta y Melilla)",ANDALUCIA,Sevilla,41091,Sevilla,Municipalities >=10K pop.,">100,000 pop.",41007,NA,3 or 4 days (quite a lot),Less (almost never),Everyday or almost everyday (5-7),NA,Less (almost never),7,Quite,Both are useful,NA,"Yes, quite a lot",NA,A TRAVES DE SUS HIJAS,Personal conversations,,,,Quite,Very often,Very often,Very often,Yes,,Very necessary,Rather positive,Solidarity,Ascedent categories,"IGUALDAD , BRECHA SALARIAL",Equality in general,Equal pay,,,NA,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Yes,1,IWD demonstration,,,,No,Yes,,Yes,Yes,"Yes, in one",10,"Other issues not linked to gender inequality (labour, neighbourhood)",,,,Yes,5,Yes,5,Yes,PSOE,PSOE,,Never,,,,Man,79,4,Retired or pensioner (previously worked),"EGB, ESO, Baccalaurate, Elementary Baccalaurate",Yes,It is fine as it is,Woman,2,Yes,Yes,No,No,Only daughter/s,"Yes, call him/her",.8999999999998497,.9857819905151366,.9973614775723444
169,04 Mar 19,04 Mar 19,17,Luna,Administered by female interviewer,CATI,11.9,8,Before March 8th,"Este (Cataluña, Comunidad Valenciana, Baleares)",BALEARES,Balears (Illes),7006,Artà,Municipalities <10K pop.,"5,000-9,999 pop.",07570,Hardly,1 or 2 days/weekends,3 or 4 days (quite a lot),1 or 2 days/weekends,Everyday or almost everyday (5-7),3 or 4 days (quite a lot),4,Hardly,Take to the strees to demonstrate,Little,"Yes, quite a lot",Hardly,"2, 6",Social networks,Newspapers,,,Quite,Quite,Very often,Quite,No,No,Very necessary,Rather positive,Hope,Descendent categories,CASI TODAS EN GENERAL,ALL,,,,Quite capable,Disagree,Strongly disagree,Strongly agree,Agree,Agree,Yes,"HUELGA EN LAL UNIVERSIDAD, , , 1, 6",Student strike,IWD demonstration,,,No,No,,No,Yes,No, ,,,,,Yes,7,No,4,Was not old enough to vote,Not in electoral census,Unidos Podemos,,Less frequently,Yes,Yes,Yes,Man,18,9,Student,"COU, BUP, Higher Baccalaurate",No partner,,,1,No,No,No,No,,"Yes, by SMS",.7857142857141546,.9645390070893632,.9722222222220128
170,02 Mar 19,02 Mar 19,16,María,Administered by female interviewer,CATI,13.2,6,Before March 8th,"Sur (Andalucía, Murcia, Ceuta y Melilla)",ANDALUCIA,Málaga,29067,Málaga,Municipalities >=10K pop.,">100,000 pop.",29002,Quite,Everyday or almost everyday (5-7),Never,Everyday or almost everyday (5-7),Less (almost never),1 or 2 days/weekends,4,Very,Take to the strees to demonstrate,Quite,"Yes, a little",Quite,1,TV,,,,Quite,Very often,Quite,Quite,No,No,Quite necessary,Rather positive,Hope,Descendent categories,"RESPETO A LAS MUJERES, LOS ABUSOS , ASESINATOS, VIOLACIONES",Respect/dignity,Gender-based violence,Gender crimes,,Quite capable,Strongly disagree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,No, ,,,,,No,No,,No,No,No, ,,,,,Yes,8,No,4,Yes,PSOE,PSOE,,Less frequently,Yes,Yes,No,Man,40,1,Working full time,"FP1, Intermediate Vocational Training",Yes,It is fine as it is,Woman,3,Yes,No,Yes,No,Both (sons and daughters),"Yes, call him/her",.7999999999998665,.8540145985348291,.8429423459242716
178,25 Feb 19,25 Feb 19,10,María,Administered by female interviewer,CATI,11.5,1,Before March 8th,"Sur (Andalucía, Murcia, Ceuta y Melilla)",ANDALUCIA,Granada,18087,Granada,Municipalities >=10K pop.,">100,000 pop.",18007,Not at all,3 or 4 days (quite a lot),1 or 2 days/weekends,Less (almost never),3 or 4 days (quite a lot),1 or 2 days/weekends,6,Quite,Voting in elections,Little,"Yes, very much",No interest,1,TV,,,,Little,Little,Little,Little,Yes,,Quite necessary,Rather positive,Solidarity,Ascedent categories,IGUALDAD,Equality in general,,,,Quite capable,Strongly disagree,Agree,Agree,Agree,Agree,Yes,1,IWD demonstration,,,,No,No,,No,Yes,No, ,,,,,Yes,6,No,2,Yes,PSOE,PSOE,,1-2 days a week/weekends,Yes,Yes,No,Woman,65,4,Retired or pensioner (previously worked),"COU, BUP, Higher Baccalaurate",Yes,It is fine as it is,Man,"2, 3",Yes,Yes,Yes,No,Both (sons and daughters),"Yes, call him/her",2.100000000033042,1.322751322743256,1.382978723405372
191,18 Apr 19,18 Apr 19,12,Autoadministrado CAWI,Self-administered,CAWI,25.4,,March 8th or after,Comunidad de Madrid,MADRID,Madrid,28079,Madrid,Municipalities >=10K pop.,">100,000 pop.",28035,Hardly,Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),4,Very,Voting in elections,Quite,"Yes, a little",Quite,"ABC DIGITAL, 13 TV, INTERECONOMIA TV",Newspapers,TV,,,Very often,Very often,Very often,Very often,No,No,Not at all necessary,Rather negative,Mistrust,Ascedent categories,NINGUNA,None,,,,No capable,Disagree,Agree,Agree,Disagree,Strongly disagree,No, ,,,,,No,Yes,,No,No,No, ,,,,,Yes,1,No,7,Yes,PP,VOX,,Never,,,,Man,86,4,Retired or pensioner (previously worked),"University graduate (Diploma, Bachelor, Degree, Master, PhD)",Yes,Greater participation by me,Woman,2,Yes,Yes,No,No,Both (sons and daughters),"Yes, by SMS",,1.005952380946121,.9973614775723444
210,27 Feb 19,27 Feb 19,16,Eva,Administered by female interviewer,CATI,7.8,3,Before March 8th,"Sur (Andalucía, Murcia, Ceuta y Melilla)",ANDALUCIA,Granada,18087,Granada,Municipalities >=10K pop.,">100,000 pop.",18015,Quite,Never,Never,Everyday or almost everyday (5-7),1 or 2 days/weekends,Less (almost never),5,Quite,Voting in elections,Very capable,"No, I didn't know anything",, ,,,,,,,,,,,Quite necessary,Rather positive,Solidarity,Descendent categories,TODAS EN GENERAL,ALL,,,,Quite capable,Agree,Agree,Strongly agree,Disagree,Disagree,No, ,,,,,No,Yes,,No,No,No, ,,,,,Yes,2,No,5,"No, because he/she couldn't",Abstained,DK,Cs Ciudadanos,Never,,,,Woman,44,"2, 10,",Working part-time,"EGB, ESO, Baccalaurate, Elementary Baccalaurate",No partner,,,4,Yes,No,No,Yes,Only son/s,"Yes, call him/her",.9499999999998413,.9543568464670731,.9266666666664669
217,26 Feb 19,26 Feb 19,13,Daniel,Administered by male interviewer,CATI,9.300000000000001,2,Before March 8th,"Sur (Andalucía, Murcia, Ceuta y Melilla)",ANDALUCIA,Málaga,29067,Málaga,Municipalities >=10K pop.,">100,000 pop.",29017,Hardly,Everyday or almost everyday (5-7),1 or 2 days/weekends,Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),3 or 4 days (quite a lot),5,Quite,Voting in elections,Quite,"No, I didn't know anything",, ,,,,,,,,,,,Not very necessary,No feelings,,,0,None,,,,Very capable,Strongly agree,Disagree,Disagree,Disagree,Disagree,No, ,,,,,No,Yes,,No,No,No, ,,,,,Yes,5,No,6,Yes,Cs Ciudadanos,DK,DK,Have no networks,,,,Man,71,4,Retired or pensioner (previously worked),"University graduate (Diploma, Bachelor, Degree, Master, PhD)",Yes,It is fine as it is,Woman,2,Yes,Yes,No,No,Only son/s,"Yes, call him/her",.999999999999833,.9857819905151366,.9973614775723444
241,25 Feb 19,25 Feb 19,17,Luna,Administered by female interviewer,CATI,12.5,1,Before March 8th,"Sur (Andalucía, Murcia, Ceuta y Melilla)",ANDALUCIA,Málaga,29067,Málaga,Municipalities >=10K pop.,">100,000 pop.",29005,Hardly,1 or 2 days/weekends,1 or 2 days/weekends,3 or 4 days (quite a lot),Everyday or almost everyday (5-7),3 or 4 days (quite a lot),6,Quite,Voting in elections,Little,"Yes, quite a lot",Hardly,INTERNET,Undefined internet,,,,Little,Little,Little,Little,Yes,,Quite necessary,Rather positive,Solidarity,Descendent categories,TODO EN GENERAL,ALL,,,,Quite capable,Agree,Agree,Agree,Disagree,Agree,Maybe,CONCENTRACION,Celebrate the day,,,,No,Yes,,No,Yes,No, ,,,,,Yes,8,No,5,Yes,Cs Ciudadanos,Cs Ciudadanos,,1-2 days a week/weekends,Yes,Yes,Yes,Woman,54,1,Working full time,"COU, BUP, Higher Baccalaurate",Yes,It is fine as it is,Man,2,Yes,Yes,No,No,Both (sons and daughters),"Yes, by SMS",.7916666666665344,.9543568464670731,.9266666666664669
247,28 Feb 19,28 Feb 19,16,Victoria,Administered by female interviewer,CATI,10.4,4,Before March 8th,"Noreste (País Vasco, Navarra, Aragón)",ARAGON,Zaragoza,50297,Zaragoza,Municipalities >=10K pop.,">100,000 pop.",50010,Very,1 or 2 days/weekends,Never,Never,Never,Never,4,DK,Voting in elections,Very capable,"No, I didn't know anything",, ,,,,,,,,,,,Very necessary,Rather positive,Solidarity,Ascedent categories,88,DK,,,,,Disagree,Strongly agree,Strongly agree,Agree,Agree,Maybe,88,DK,,,,No,Yes,,No,No,No, ,,,,,No,,,5,Did not want to vote,Abstained,DK,DK,Never,,,,Woman,35,"11, DESEMPLEADA",Unemployed,"EGB, ESO, Baccalaurate, Elementary Baccalaurate",Yes,It is fine as it is,Man,1,No,No,No,No,,"Yes, call him/her",.8260869565216014,.9543568464670731,.9266666666664669
252,27 Feb 19,27 Feb 19,10,Tomas,Administered by male interviewer,CATI,13.7,3,Before March 8th,"Noroeste (Galicia, Asturias, Cantabria)",GALICIA,Pontevedra,36045,Redondela,Municipalities >=10K pop.,"20,000-99,999 pop.",36320,Very,Everyday or almost everyday (5-7),Never,Less (almost never),Never,Never,0 Completely dissatisfied,Very,Take to the strees to demonstrate,Very capable,"Yes, very much",No interest,"CALLE, , , 4",Street posters,Collectives or associations,,,Little,Very often,Quite,Little,Yes,,Quite necessary,Rather positive,Hope,Descendent categories,"MALTRATO, IGUALDAD EN EL SALARIO",Gender-based violence,Equal pay,,,Quite capable,Agree,Strongly agree,Strongly agree,Agree,Agree,Yes,IR A LA MANIFESTACION,IWD demonstration,,,,No,Yes,,Yes,No,No, ,,,,,Yes,5,No,5,Yes,Blank/Null,Blank/Null,PSOE,Never,,,,Woman,47,"11, AUTONOMO COMERCIO",Working full time,"EGB, ESO, Baccalaurate, Elementary Baccalaurate",Yes,Greater participation of my partner,Man,4,Yes,No,No,Yes,Only daughter/s,"Yes, by SMS",.9499999999998413,.9543568464670731,.9266666666664669
263,27 Feb 19,27 Feb 19,17,Eva,Administered by female interviewer,CATI,7.4,3,Before March 8th,"Sur (Andalucía, Murcia, Ceuta y Melilla)",MURCIA,Murcia,30030,Murcia,Municipalities >=10K pop.,">100,000 pop.",30006,Quite,Everyday or almost everyday (5-7),Never,Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),1 or 2 days/weekends,6,Very,Voting in elections,Quite,"No, I didn't know anything",, ,,,,,,,,,,,Not very necessary,Rather negative,Tedium,Ascedent categories,88,DK,,,,,Disagree,Agree,Disagree,Disagree,Strongly disagree,No, ,,,,,No,Yes,,No,No,No, ,,,,,Yes,Has no sympathy whatsoever,No,5,Yes,PP,DK,Cs Ciudadanos,Never,,,,Man,55,1,Working full time,"EGB, ESO, Baccalaurate, Elementary Baccalaurate",Yes,It is fine as it is,Man,2,Yes,Yes,No,No,Only daughter/s,"Yes, call him/her",.999999999999833,.9857819905151366,.9973614775723444
293,25 Feb 19,25 Feb 19,12,Daniel,Administered by male interviewer,CATI,13.1,1,Before March 8th,"Este (Cataluña, Comunidad Valenciana, Baleares)",CATALUÑA,Barcelona,8245,Santa Coloma de Gramenet,Municipalities >=10K pop.,">100,000 pop.",08921,Hardly,Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),1 or 2 days/weekends,Everyday or almost everyday (5-7),3 or 4 days (quite a lot),6,Very,Both are useful,Quite,"Yes, quite a lot",Hardly,"1, 6",TV,Newspapers,,,Very often,Very often,Doesn't use social networks,,Yes,,Very necessary,Rather positive,Solidarity,Descendent categories,99,NA,,,,Quite capable,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Maybe,88,DK,,,,No,Yes,,No,No,No, ,,,,,Yes,6,No,3,Yes,PSOE,PSOE,,Never,,,,Man,75,4,Retired or pensioner (previously worked),Primary school (or has attended school for 5 years or more),Yes,Greater participation by me,Woman,2,Yes,Yes,No,No,Both (sons and daughters),"Yes, call him/her",.8999999999998497,.9857819905151366,.9973614775723444
326,25 Feb 19,25 Feb 19,13,Daniel,Administered by male interviewer,CATI,13.4,1,Before March 8th,"Noroeste (Galicia, Asturias, Cantabria)",GALICIA,Coruña (A),15042,Lousame,Municipalities <10K pop.,<5k pop.,15214,Quite,Everyday or almost everyday (5-7),Never,DK,DK,1 or 2 days/weekends,5,Very,Voting in elections,Can't say,Can't say,, ,,,,,,,,,,,Not very necessary,Rather negative,Mistrust,Ascedent categories,0,None,,,,NA,Agree,Agree,Agree,Disagree,Neither agree nor disagree,No, ,,,,,No,Yes,,No,No,No, ,,,,,Yes,DK,No,DK,Yes,NA,NA,NA,Never,,,,Woman,70,4,Retired or pensioner (previously worked),Primary school (or has attended school for 5 years or more),Yes,It is fine as it is,Man,2,Yes,Yes,No,No,Only daughter/s,"Yes, call him/her",2.100000000033042,1.322751322743256,1.382978723405372
330,03 Mar 19,03 Mar 19,11,Rosa,Administered by female interviewer,CATI,14.9,7,Before March 8th,"Este (Cataluña, Comunidad Valenciana, Baleares)",CATALUÑA,Barcelona,8019,Barcelona,Municipalities >=10K pop.,">100,000 pop.",08018,Hardly,3 or 4 days (quite a lot),Never,Never,Never,1 or 2 days/weekends,5,Very,Voting in elections,Very capable,"Yes, very much",Hardly,"1, 2, 3",TV,Social networks,Personal conversations,,Very often,Very often,Very often,Very often,No,No,Very necessary,Rather positive,Pride,Descendent categories,88,DK,,,,,Neither agree nor disagree,Strongly agree,Agree,Agree,Strongly agree,No, ,,,,,No,Yes,,No,No,No, ,,,,,No,,,DK,"No, because he/she couldn't",Abstained,DK,DK,Never,,,,Woman,40,1,Working full time,"EGB, ESO, Baccalaurate, Elementary Baccalaurate",Yes,Greater participation of my partner,Man,4,Yes,No,No,Yes,Only daughter/s,"Yes, call him/her",.759999999999873,.9543568464670731,.9266666666664669
336,03 Mar 19,03 Mar 19,21,María,Administered by female interviewer,CATI,8.6,7,Before March 8th,"Este (Cataluña, Comunidad Valenciana, Baleares)",CATALUÑA,Barcelona,8096,Granollers,Municipalities >=10K pop.,"20,000-99,999 pop.",08401,Very,3 or 4 days (quite a lot),Never,Never,Never,Never,1,Very,Voting in elections,Very capable,"No, I didn't know anything",, ,,,,,,,,,,,Not at all necessary,Rather negative,Displeasure,Descendent categories,0,None,,,,No capable,Agree,Agree,Agree,Agree,Agree,No, ,,,,,No,Yes,,No,No,No, ,,,,,Yes,Has no sympathy whatsoever,No,DK,Did not want to vote,Abstained,DK,Will abstain,Have no networks,,,,Woman,56,1,Working full time,"EGB, ESO, Baccalaurate, Elementary Baccalaurate",Yes,It is fine as it is,Man,3,Yes,No,Yes,No,Only son/s,"Yes, call him/her",1.49999999999975,1.322751322743256,1.382978723405372
340,25 Feb 19,25 Feb 19,17,María,Administered by female interviewer,CATI,11.9,1,Before March 8th,"Sur (Andalucía, Murcia, Ceuta y Melilla)",ANDALUCIA,Almería,4102,Vícar,Municipalities >=10K pop.,"20,000-99,999 pop.",04738,Very,Everyday or almost everyday (5-7),Never,Never,Never,Never,0 Completely dissatisfied,Very,Voting in elections,Very capable,"No, I didn't know anything",, ,,,,,,,,,,,DK,Rather positive,Hope,Descendent categories,88,DK,,,,,DK,Agree,Agree,Agree,NA,No, ,,,,,No,Yes,,No,No,No, ,,,,,Yes,DK,No,5,Yes,NA,NA,NA,Have no networks,,,,Man,78,4,Retired or pensioner (previously worked),Primary school (or has attended school for 5 years or more),Yes,It is fine as it is,Woman,2,Yes,Yes,No,No,Only son/s,"Yes, call him/her",.8999999999998497,.9857819905151366,.9973614775723444
370,26 Feb 19,26 Feb 19,13,Eva,Administered by female interviewer,CATI,12.8,2,Before March 8th,"Noroeste (Galicia, Asturias, Cantabria)",ASTURIAS,Asturias,33044,Oviedo,Municipalities >=10K pop.,">100,000 pop.",33000,Hardly,Everyday or almost everyday (5-7),3 or 4 days (quite a lot),Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),Less (almost never),5,Not at all,Voting in elections,Quite,"Yes, very much",No interest,"5, 6",Radio,Newspapers,,,Very often,Very often,Very often,Very often,Yes,,Very necessary,Rather positive,Solidarity,Descendent categories,"LOS NIÑOS DE LAS MUJERES QUE HAN SUFRIDO A VIOLENCIA DE GENERO, POCA AYUDA QUE HAN RECIBIDO",Gender-based violence,Other,,,Very capable,Disagree,Agree,Agree,Agree,Agree,No, ,,,,,Yes,,Since before,No,Yes,No, ,,,,,Yes,6,Yes,7,Yes,PSOE,PSOE,,3-4 days a week,Yes,Yes,No,Woman,83,4,Retired or pensioner (previously worked),"University graduate (Diploma, Bachelor, Degree, Master, PhD)",No partner,,,1,No,No,No,No,,"Yes, call him/her",.8749999999998539,1.322751322743256,1.382978723405372
372,25 Feb 19,25 Feb 19,17,María,Administered by female interviewer,CATI,9.9,1,Before March 8th,"Noroeste (Galicia, Asturias, Cantabria)",GALICIA,Coruña (A),15052,Muxía,Municipalities <10K pop.,<5k pop.,15124,Quite,Never,1 or 2 days/weekends,1 or 2 days/weekends,1 or 2 days/weekends,1 or 2 days/weekends,0 Completely dissatisfied,Very,Voting in elections,Quite,"No, I didn't know anything",, ,,,,,,,,,,,NA,Rather positive,Solidarity,Descendent categories,0,None,,,,Quite capable,Agree,Disagree,DK,Agree,NA,No, ,,,,,No,No,,No,No,No, ,,,,,Yes,DK,No,5,Yes,NA,NA,NA,Less frequently,Yes,No,No,Man,33,8,Unemployed,"EGB, ESO, Baccalaurate, Elementary Baccalaurate",No partner,,,1,No,No,No,No,,"Yes, call him/her",.999999999999833,.9645390070893632,.9722222222220128
386,25 Feb 19,25 Feb 19,13,Eva,Administered by female interviewer,CATI,13.5,1,Before March 8th,"Sur (Andalucía, Murcia, Ceuta y Melilla)",ANDALUCIA,Jaén,23055,Linares,Municipalities >=10K pop.,"20,000-99,999 pop.",23700,Hardly,Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),3 or 4 days (quite a lot),Completely satisfied,Hardly,Voting in elections,Little,"Yes, very much",Quite,"1, 5, 6",TV,Radio,Newspapers,,Very often,Very often,Very often,Very often,No,No,Very necessary,Rather positive,Hope,Ascedent categories,IGUALDAD ENTRE GENEROS,Gender equality,,,,Very capable,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,No, ,,,,,No,Yes,,Can't remember,Yes,No, ,,,,,Yes,5,No,5,Yes,PSOE,PSOE,,Never,,,,Man,61,4,Retired or pensioner (previously worked),"University graduate (Diploma, Bachelor, Degree, Master, PhD)",Yes,It is fine as it is,Woman,2,Yes,Yes,No,No,Only daughter/s,"Yes, call him/her",.8999999999998497,.9857819905151366,.9973614775723444
412,25 Feb 19,25 Feb 19,20,Rosa,Administered by female interviewer,CATI,14,1,Before March 8th,"Sur (Andalucía, Murcia, Ceuta y Melilla)",ANDALUCIA,Málaga,29067,Málaga,Municipalities >=10K pop.,">100,000 pop.",29014,Hardly,Everyday or almost everyday (5-7),1 or 2 days/weekends,Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),1 or 2 days/weekends,3,Quite,Voting in elections,Quite,"Yes, a little",Quite,"TV, RADIO, PERIODICO",TV,Radio,Newspapers,,Quite,Very often,Very often,Very often,No,No,Not very necessary,Rather positive,Solidarity,Ascedent categories,IGUALDAD EN TODOS LOS ASPECTOS,Equality in general,,,,Quite capable,Agree,Agree,Strongly agree,Disagree,Disagree,No, ,,,,,No,Yes,,No,No,"Yes, in one",10,"Other issues not linked to gender inequality (labour, neighbourhood)",,,,Yes,8,Yes,5,Yes,Unidos Podemos,Blank/Null,Unidos Podemos,Never,,,,Man,44,1,Working full time,"FP2, Higher Vocational Training, Conservatoire 10 years",Yes,It is fine as it is,Woman,4,Yes,No,No,Yes,Both (sons and daughters),"Yes, call him/her",.7692307692306408,.8540145985348291,.8429423459242716
427,01 Mar 19,01 Mar 19,11,Daniel,Administered by male interviewer,CATI,13.2,5,Before March 8th,Comunidad de Madrid,MADRID,Madrid,28079,Madrid,Municipalities >=10K pop.,">100,000 pop.",28047,Hardly,3 or 4 days (quite a lot),Never,3 or 4 days (quite a lot),Less (almost never),3 or 4 days (quite a lot),4,Quite,Voting in elections,Quite,"Yes, quite a lot",Hardly,"3, 5",Personal conversations,Radio,,,Little,Very often,Little,Little,Yes,,Quite necessary,Rather positive,Hope,Ascedent categories,QUE TODO SE HAGA UN POQUITO MEJOR,ALL,,,,NA,Disagree,Strongly agree,Strongly agree,Disagree,Neither agree nor disagree,Maybe,1,IWD demonstration,,,,No,Yes,,No,Yes,"Yes, in two or more",10,"Other issues not linked to gender inequality (labour, neighbourhood)",,,,Yes,5,No,5,Yes,NA,DK,DK,Never,,,,Woman,43,1,Working full time,"FP2, Higher Vocational Training, Conservatoire 10 years","Has a partner, but does not live with him/her",,,4,Yes,No,No,Yes,Both (sons and daughters),"Yes, call him/her",.9047619047617537,.9543568464670731,.9266666666664669
