row_id,COUNTRY_CODE,COUNTRY_NAME,final_decision,invalid_source,screening_tier,trigger_reason,signal_count,signal_attention,signal_longstring,signal_mahalanobis,signal_odd_even,ls_max_run,md_score,oe_r,BENEFIT_OPEN,TRUST_OPEN,BENEFIT_OPEN_ZH,ATTCHECK_NUMBER,ATTCHECK_RES,DEM_AGE,DEM_GENDER,DEM_EDU,DEM_AGEGRP
2813,AUS,Australia,invalid,existing,HIGH,mahalanobis_outlier;odd_even_low,2,0,0,1,1,5.0,11.50825388563279,-0.8881716301507393,NA,Trusted sources,,213,1,18,1,3,18-29
25947,SVN,Slovenia,invalid,existing,HIGH,longstring_exceed;mahalanobis_outlier,2,0,1,1,0,35.0,10.392890523940652,0.6301902204663264,NA,-99,,213,1,20,1,3,18-29
29328,DEU,Germany,invalid,existing,HIGH,mahalanobis_outlier;odd_even_low,2,0,0,1,1,4.0,13.562247065766076,-1.0,alle,NA,全部,213,1,48,2,4,40-49
35055,FRA,France,valid1,none,HIGH,mahalanobis_outlier;odd_even_low,2,0,0,1,1,12.0,11.168062047849403,-0.8944271909999159,La médecine beneficie le plus de la science avec les recherches scientifiques et les avancées technologiques ,NA,医学通过科学研究和技术进步从科学中获益最多,213,1,35,1,4,30-39
39983,GBR,United Kingdom,invalid,existing,HIGH,longstring_exceed;mahalanobis_outlier,2,0,1,1,0,54.0,10.269587394464995,,Curling things. Pity the Chinese ones created covid,NA,冰壶的东西。可惜中国人创造了新冠病毒,213,1,43,1,3,40-49
46657,IND,India,invalid,existing,HIGH,longstring_exceed;odd_even_low,2,0,1,0,1,35.0,5.595968047897347,-1.0,useful inthe future ,NA,将来有用的,213,1,57,1,4,50-59
267,ALB,Albania,invalid,existing,MEDIUM,longstring_exceed,1,0,1,0,0,33.0,5.992739800567523,,NA,Na cat trapin thnx,,213,1,28,0,4,18-29
334,ALB,Albania,invalid,existing,MEDIUM,longstring_exceed,1,0,1,0,0,35.0,6.545388807672866,,"njerzit pasi  i ben te zgjuar dhe kurioz
",NA,人们因为这让他们变得聪明和好奇,213,1,19,1,3,18-29
351,ALB,Albania,valid1,none,MEDIUM,mahalanobis_outlier,1,0,0,1,0,6.0,9.542554770311897,0.7206037585776719,NA,Besimi i shpikjes se tij,,213,1,56,1,3,50-59
469,ARG,Argentina,valid1,none,MEDIUM,odd_even_low,1,0,0,0,1,11.0,4.555250355680733,-0.8783100656536799,"Deberíamos beneficiarnos todos, pero en si, quien invierte en la ciencia y la gente que puede acceder mas facil a ella (socioeconomía, ubicación geográfica)",NA,我们所有人都应该受益，但就其本身而言，谁投资于科学，谁可以更容易地获得科学（社会经济学，地理位置）,213,1,18,1,3,18-29
508,ARG,Argentina,invalid,existing,MEDIUM,longstring_exceed,1,0,1,0,0,38.0,7.401369325568361,0.6324555320336759,NA,Nose,,213,1,26,1,4,18-29
